"table_name","src_sys_cd","project","count_of_rows","date","table_name_cntrl_tbl","src_sys_cd_cntrl_tbl","year","month","day"
"f_invntry_bal_dly_hist","ebs_lgn","lighthouse","119986385","20221026","f_invntry_bal_dly_hist","ebs_lgn","2022","10","26"
"f_invntry_bal_dly_hist","m2m_mbrg","lighthouse","333334109","20221026","f_invntry_bal_dly_hist","m2m","2022","10","26"
"f_forecast","m2m_mbrg_file","lighthouse","23397648","20221026","f_forecast","m2m","2022","10","26"
"f_forecast","m2m_mbrg","lighthouse","1713795426","20221026","f_forecast","m2m","2022","10","26"
"f_forecast","ebs_lgn_file","lighthouse","5018094","20221026","f_forecast","ebs_lgn","2022","10","26"
"f_forecast","ebs_lgn","lighthouse","5475964505","20221026","f_forecast","ebs_lgn","2022","10","26"
"f_po_receipt","m2m_mbrg","lighthouse","229007","20221026","f_po_receipt","m2m","2022","10","26"
"f_purchase_order","m2m_mbrg","lighthouse","226411","20221026","f_purchase_order","m2m","2022","10","26"
"d_product_plant","m2m_mbrg","lighthouse","22027","20221026","d_product_plant","m2m","2022","10","26"
"d_org_unit","m2m_mbrg","lighthouse","1","20221026","d_org_unit","m2m","2022","10","26"
"f_po_receipt","ebs_lgn","lighthouse","1164702","20221026","f_po_receipt","ebs_lgn","2022","10","26"
"d_product","m2m_mbrg","lighthouse","20558","20221026","d_product","m2m","2022","10","26"
"d_supplier","m2m_mbrg","lighthouse","3864","20221026","d_supplier","m2m","2022","10","26"
"f_invntry_txn","m2m_mbrg","lighthouse","6847321","20221026","f_invntry_txn","m2m","2022","10","26"
"d_org_unit","ebs_lgn","lighthouse","34","20221026","d_org_unit","ebs_lgn","2022","10","26"
"d_product_plant","ebs_lgn","lighthouse","473045","20221026","d_product_plant","ebs_lgn","2022","10","26"
"d_product","ebs_lgn","lighthouse","473034","20221026","d_product","ebs_lgn","2022","10","26"
"f_purchase_order","ebs_lgn","lighthouse","708032","20221026","f_purchase_order","ebs_lgn","2022","10","26"
"d_product_supplier_xref","ebs_lgn","lighthouse","55746","20221026","d_product_supplier_xref","ebs_lgn","2022","10","26"
"f_invntry_txn","ebs_lgn","lighthouse","18721150","20221026","f_invntry_txn","ebs_lgn","2022","10","26"
"d_supplier","ebs_lgn","lighthouse","8753","20221026","d_supplier","ebs_lgn","2022","10","26"
"d_company","ebs_lgn","lighthouse","78","20221026","d_company","ebs_lgn","2022","10","26"
"d_company","m2m_mbrg","lighthouse","1","20221026","d_company","m2m","2022","10","26"
"f_cntrl_tower_usage","m2m_mbrg","lighthouse","15471","20221026","f_cntrl_tower_usage","m2m","2022","10","26"
"f_cntrl_tower_sku_site","m2m_mbrg","lighthouse","5807","20221026","f_cntrl_tower_sku_site","m2m","2022","10","26"
"f_cntrl_tower_fg_fcst","m2m_mbrg","lighthouse","10555","20221026","f_cntrl_tower_fg_fcst","m2m","2022","10","26"
"f_cntrl_tower_fcf_fcst","m2m_mbrg","lighthouse","9065","20221026","f_cntrl_tower_fcf_fcst","m2m","2022","10","26"
